GRUPO FINANCEIRO;Consultor Comercial;Empresa;Tipo;Pagto;Porte Cliente;Cliente (Razão Social);CNPJ;Operadora;Benefício ;Parcela;Mes Referencia ;Tipo Receita; Premio Bruto ;% Receita para XIPP;Receita Bruta da Corretora XIPP;  % Impostos retidos;Impostos retidos;Receita recebida pela Corretora XIPP;(%) Impostos sobre receita;  Imposto R$  ; Receita Líquida  ;"% 
Comissão"; Comissão a Pagar 
Armatrel;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/05/2022;Small;Armacao Trelicada Piramide Ltda.;03.013.951/0001-93;Metlife Odonto;Odonto;1;01/05/2022;Agenciamento; R$ 1.040,27 ;200%; R$ 2.080,54 ;2,00%; R$ 41,61 ; R$ 2.038,93 ;14,25%; 290,55 ; 1.748,38 ;20%; 349,68 
Armatrel;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/05/2022;Small;Armacao Trelicada Piramide Ltda.;03.013.951/0001-93;Metlife Odonto;Odonto;1;01/05/2022;Agenciamento; R$ 314,78 ;200%; R$ 629,56 ;2,00%; R$ 12,59 ; R$ 616,97 ;14,25%; 87,92 ; 529,05 ;20%; 105,81 
Erj Consultoria;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/06/2022;Small;ERJ Consultoria e Auditoria Empresarial;42.952.840/0001-02;Metlife Vida;Saúde;1;01/03/2022;Agenciamento; R$ 19,86 ;100%; R$ 19,86 ;2,00%; R$ 0,40 ; R$ 19,46 ;14,25%; 2,77 ; 16,69 ;20%; 3,34 
Erj Consultoria;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/06/2022;Small;ERJ Assessoria Contábil e Tributária;28.673.498.0001-72;Metlife Vida;Odonto;1;01/03/2022;Agenciamento; R$ 26,48 ;100%; R$ 26,48 ;2,00%; R$ 0,53 ; R$ 25,95 ;14,25%; 3,70 ; 22,25 ;20%; 4,45 
Armatrel;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/06/2022;Small;Armacao Trelicada Piramide Ltda.;03.013.951/0001-93;Metlife Vida;Odonto;1;01/05/2022;Comissão; R$ 56,87 ;20%; R$ 11,37 ;2,00%; R$ 0,23 ; R$ 11,15 ;14,25%; 1,59 ; 9,56 ;20%; 1,91 
Armatrel;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/06/2022;Small;Armação Trelicada Pirâmide Ltda.;03.013.951/0001-93;GNDI;Odonto;1;01/05/2022;Comissão; R$ 581,74 ;4%; R$ 23,27 ;2,00%; R$ 0,47 ; R$ 22,80 ;14,25%; 3,25 ; 19,55 ;20%; 3,91 
Tecoa;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/06/2022;Small;Tecoa Assessoria e Gestão Comercial;43.870.688/0001-73;CNU;Saúde;1;01/05/2022;Comissão; R$ 1.155,29 ;100%; R$ 1.155,29 ;2,00%; R$ 23,11 ; R$ 1.132,18 ;14,25%; 161,34 ; 970,85 ;20%; 194,17 
Mol Brasil;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/07/2022;Small;Mol Brasil Ltda.;69.070.092/0001-82;Metlife Vida;Vida;1;01/06/2022;Agenciamento; R$ 261,96 ;100%; R$ 261,96 ;3,15%; R$ 8,25 ; R$ 253,71 ;14,25%; 36,15 ; 217,55 ;20%; 43,51 
Mol Brasil;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/07/2022;Small;Mol Brasil Ltda.;69.070.092/0005-06;Metlife Vida;Vida;1;01/06/2022;Agenciamento; R$ 60,45 ;100%; R$ 60,45 ;3,15%; R$ 1,90 ; R$ 58,55 ;14,25%; 8,34 ; 50,20 ;20%; 10,04 
Yassaka;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/07/2022;Small;Yassaka Educação Comercial;04.020.286/0001-28;Porto Seguro;Saúde;1;01/06/2022;Agenciamento; R$ 18.915,83 ;100%; R$ 18.915,83 ;3,15%; R$ 595,85 ; R$ 18.319,98 ;14,25%; 2.610,60 ; 15.709,38 ;20%; 3.141,88 
Armatrel;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/07/2022;Small;Trelibase Representacoes Comerciais;10.771.909/0001-05;GNDI;Saúde;1;01/07/2022;Agenciamento; R$ 3.405,24 ;100%; R$ 3.405,24 ;6,50%; R$ 221,34 ; R$ 3.183,90 ;14,25%; 453,71 ; 2.730,19 ;20%; 546,04 
Armatrel;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/07/2022;Small;N. da Silva Transportadora;19.491.050/0001-47;GNDI;Saúde;1;01/07/2022;Agenciamento; R$ 1.216,20 ;100%; R$ 1.216,20 ;6,50%; R$ 79,05 ; R$ 1.137,15 ;14,25%; 162,04 ; 975,10 ;20%; 195,02 
HTM;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/07/2022;Small;Htm Assessoria e Consultoria contabil;41.663.787/0001-59;Amil;Saúde;1;01/07/2022;Agenciamento; R$ 3.712,15 ;100%; R$ 3.712,15 ;1,50%; R$ 55,68 ; R$ 3.656,47 ;14,25%; 521,05 ; 3.135,42 ;20%; 627,08 
Armatrel;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/08/2022;Small;Pastura & Pastura Representaçoes;10.934.778/0001-21;GNDI;Saúde;1;01/07/2022;Agenciamento; R$ 1.375,47 ;100%; R$ 1.375,47 ;6,50%; R$ 89,41 ; R$ 1.286,06 ;14,25%; 183,26 ; 1.102,80 ;20%; 220,56 
Clinica Itaim;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/08/2022;Small;Clinica Dentaria Itaim Odonto LTDA;24.691.344/0001-52;CNU;Saúde;1;01/08/2022;Agenciamento; R$ 1.573,05 ;100%; R$ 1.573,05 ;6,50%; R$ 102,25 ; R$ 1.470,80 ;14,25%; 209,59 ; 1.261,21 ;20%; 252,24 
Haddad Advogados;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/08/2022;Small;Haddad, Robert e Serafim Sociedade;44.618.263/0001-34;GNDI;Saúde;1;01/08/2022;Agenciamento; R$ 2.295,39 ;100%; R$ 2.295,39 ;6,50%; R$ 149,20 ; R$ 2.146,19 ;14,25%; 305,83 ; 1.840,36 ;20%; 368,07 
Modertec;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/08/2022;Small;Modertec;15.065.195/0001-25;Metlife Vida;Vida;1;01/06/2022;Agenciamento; R$ 292,71 ;100%; R$ 292,71 ;2,00%; R$ 5,85 ; R$ 286,86 ;14,25%; 40,88 ; 245,98 ;20%; 49,20 
Cmdt;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/09/2022;Small;Cmdt Empreendimentos Imobiliarios Ltda;23.358.554/0001-60;Bradesco;Saúde;1;01/09/2022;Agenciamento; R$ 2.843,99 ;100%; R$ 2.843,99 ;3,50%; R$ 99,54 ; R$ 2.744,45 ;14,25%; 391,08 ; 2.353,37 ;20%; 470,67 
Sorvetes Biude;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/09/2022;Small;Sorvetes Biude Ltda;11.967.279/0001-01;GNDI;Saúde;1;01/09/2022;Agenciamento; R$ 564,16 ;100%; R$ 564,16 ;6,50%; R$ 36,67 ; R$ 527,49 ;14,25%; 75,17 ; 452,32 ;20%; 90,46 
Haddad Advogados;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/10/2022;Small;Haddad Advogados;44.618.263/0001-34;Omint;Saúde;1;01/10/2022;Agenciamento; R$ 49.123,10 ;100%; R$ 49.123,10 ;5,00%; R$ 2.456,16 ; R$ 46.666,95 ;14,25%; 6.650,04 ; 40.016,91 ;20%; 8.003,38 
Yassaka;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/10/2022;Small;Yassaka;"	34.927.410/0001-02";Bradesco;Saúde;1;01/10/2022;Agenciamento; R$ 1.793,47 ;100%; R$ 1.793,47 ;3,50%; R$ 62,77 ; R$ 1.730,70 ;14,25%; 246,62 ; 1.484,07 ;20%; 296,81 
Jms;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/10/2022;Small;Jms Representação;47.752.896/0001-29;Amil;Saúde;1;01/10/2022;Agenciamento; R$ 1.266,97 ;100%; R$ 1.266,97 ;1,50%; R$ 19,00 ; R$ 1.247,97 ;14,25%; 177,84 ; 1.070,13 ;20%; 214,03 
Rfnet;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/11/2022;Small;Rfnet;05.515.322/0001-97;CNU;Saúde;1;01/10/2022;Agenciamento; R$ 1.431,86 ;100%; R$ 1.431,86 ;5,00%; R$ 71,59 ; R$ 1.360,27 ;14,25%; 193,84 ; 1.166,43 ;20%; 233,29 
Yassaka;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/11/2022;Small;Yassaka;04.020.286/0001-28;Metlife Odonto;Saúde;1;01/11/2022;Agenciamento; R$ 896,22 ;100%; R$ 896,22 ;1,50%; R$ 13,44 ; R$ 882,78 ;14,25%; 125,80 ; 756,98 ;20%; 151,40 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/03/2022;Middle;MON VILLE ALIMENTAÇÃO ;00.327.702/0001-84;METLIFE;ODONTO;7;01/03/2022;Comissão; R$ 413,64 ;10%; R$ 41,36 ;6,50%; R$ 2,69 ; R$ 38,68 ;14,25%; 5,51 ; 33,16 ;10%; 3,32 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/03/2022;Middle;MON VILLE MINAS REFEIÇÕES;14.429.436/0001-05;METLIFE;ODONTO;7;01/03/2022;Comissão; R$ 563,01 ;10%; R$ 56,30 ;6,50%; R$ 3,66 ; R$ 52,64 ;14,25%; 7,50 ; 45,14 ;10%; 4,51 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/03/2022;Middle;MON VILLE RESTAURANTES;30.546.132/0001-84;METLIFE;ODONTO;7;01/03/2022;Comissão; R$ 631,95 ;10%; R$ 63,20 ;6,50%; R$ 4,11 ; R$ 59,09 ;14,25%; 8,42 ; 50,67 ;10%; 5,07 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/03/2022;Middle;KRYPTUS;05.761.098/0001-13;AMIL;ODONTO;7;01/03/2022;Comissão; R$ 714,56 ;10%; R$ 71,46 ;6,50%; R$ 4,64 ; R$ 66,81 ;14,25%; 9,52 ; 57,29 ;10%; 5,73 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/03/2022;Middle;KRYPTUS;05.761.098/0001-13;AMIL;ODONTO;7;01/03/2022;Comissão; R$ 2.267,23 ;10%; R$ 226,72 ;6,50%; R$ 14,74 ; R$ 211,99 ;14,25%; 30,21 ; 181,78 ;10%; 18,18 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/03/2022;Middle;KRYPTUS;05.761.098/0001-13;AMIL;SAÚDE;6;01/03/2022;Comissão; R$ 32.694,27 ;5%; R$ 1.634,71 ;6,50%; R$ 106,26 ; R$ 1.528,46 ;14,25%; 217,81 ; 1.310,65 ;10%; 131,07 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/03/2022;Middle;KRYPTUS;05.761.098/0002-02;AMIL;SAÚDE;6;01/03/2022;Comissão; R$ 9.072,78 ;5%; R$ 453,64 ;6,50%; R$ 29,49 ; R$ 424,15 ;14,25%; 60,44 ; 363,71 ;10%; 36,37 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2022;Middle;MON VILLE ALIMENTAÇÃO ;00.327.702/0001-84;METLIFE;ODONTO;5;01/01/2022;Comissão; R$ 494,07 ;10%; R$ 49,41 ;6,50%; R$ 3,21 ; R$ 46,20 ;14,25%; 6,58 ; 39,61 ;10%; 3,96 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2022;Middle;MON VILLE MINAS REFEIÇÕES;14.429.436/0001-05;METLIFE;ODONTO;5;01/01/2022;Comissão; R$ 631,95 ;10%; R$ 63,20 ;6,50%; R$ 4,11 ; R$ 59,09 ;14,25%; 8,42 ; 50,67 ;10%; 5,07 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2022;Middle;MON VILLE RESTAURANTES;30.546.132/0001-84;METLIFE;ODONTO;5;01/01/2022;Comissão; R$ 563,01 ;10%; R$ 56,30 ;6,50%; R$ 3,66 ; R$ 52,64 ;14,25%; 7,50 ; 45,14 ;10%; 4,51 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2022;Middle;KRYPTUS;05.761.098/0001-13;AMIL;ODONTO;5;01/01/2022;Comissão; R$ 813,94 ;10%; R$ 81,39 ;6,50%; R$ 5,29 ; R$ 76,10 ;14,25%; 10,84 ; 65,26 ;10%; 6,53 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2022;Middle;KRYPTUS;05.761.098/0001-13;AMIL;ODONTO;5;01/01/2022;Comissão; R$ 2.216,86 ;10%; R$ 221,69 ;6,50%; R$ 14,41 ; R$ 207,28 ;14,25%; 29,54 ; 177,74 ;10%; 17,77 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2022;Middle;KRYPTUS;05.761.098/0001-13;AMIL;SAÚDE;4;01/01/2022;Comissão; R$ 34.280,30 ;5%; R$ 1.714,02 ;6,50%; R$ 111,41 ; R$ 1.602,60 ;14,25%; 228,37 ; 1.374,23 ;10%; 137,42 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2022;Middle;KRYPTUS;05.761.098/0002-02;AMIL;SAÚDE;4;01/01/2022;Comissão; R$ 10.097,13 ;5%; R$ 504,86 ;6,50%; R$ 32,82 ; R$ 472,04 ;14,25%; 67,27 ; 404,78 ;10%; 40,48 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/02/2022;Middle;MON VILLE ALIMENTAÇÃO ;00.327.702/0001-84;METLIFE;ODONTO;6;01/02/2022;Comissão; R$ 494,07 ;10%; R$ 49,41 ;6,50%; R$ 3,21 ; R$ 46,20 ;14,25%; 6,58 ; 39,61 ;10%; 3,96 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/02/2022;Middle;MON VILLE MINAS REFEIÇÕES;14.429.436/0001-05;METLIFE;ODONTO;6;01/02/2022;Comissão; R$ 654,93 ;10%; R$ 65,49 ;6,50%; R$ 4,26 ; R$ 61,24 ;14,25%; 8,73 ; 52,51 ;10%; 5,25 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/02/2022;Middle;MON VILLE RESTAURANTES;30.546.132/0001-84;METLIFE;ODONTO;6;01/02/2022;Comissão; R$ 563,01 ;10%; R$ 56,30 ;6,50%; R$ 3,66 ; R$ 52,64 ;14,25%; 7,50 ; 45,14 ;10%; 4,51 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/02/2022;Middle;KRYPTUS;05.761.098/0001-13;AMIL;ODONTO;6;01/02/2022;Comissão; R$ 714,56 ;10%; R$ 71,46 ;6,50%; R$ 4,64 ; R$ 66,81 ;14,25%; 9,52 ; 57,29 ;10%; 5,73 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/02/2022;Middle;KRYPTUS;05.761.098/0001-13;AMIL;ODONTO;6;01/02/2022;Comissão; R$ 2.144,91 ;10%; R$ 214,49 ;6,50%; R$ 13,94 ; R$ 200,55 ;14,25%; 28,58 ; 171,97 ;10%; 17,20 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/02/2022;Middle;KRYPTUS;05.761.098/0001-13;AMIL;SAÚDE;5;01/02/2022;Comissão; R$ 32.117,98 ;5%; R$ 1.605,90 ;6,50%; R$ 104,38 ; R$ 1.501,52 ;14,25%; 213,97 ; 1.287,55 ;10%; 128,75 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/02/2022;Middle;KRYPTUS;05.761.098/0002-02;AMIL;SAÚDE;5;01/02/2022;Comissão; R$ 8.178,53 ;5%; R$ 408,93 ;6,50%; R$ 26,58 ; R$ 382,35 ;14,25%; 54,48 ; 327,86 ;10%; 32,79 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/04/2022;Middle;MON VILLE ALIMENTAÇÃO ;00.327.702/0001-84;METLIFE;ODONTO;8;01/04/2022;Comissão; R$ 425,13 ;10%; R$ 42,51 ;6,50%; R$ 2,76 ; R$ 39,75 ;14,25%; 5,66 ; 34,09 ;10%; 3,41 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/04/2022;Middle;MON VILLE MINAS REFEIÇÕES;14.429.436/0001-05;METLIFE;ODONTO;8;01/04/2022;Comissão; R$ 563,01 ;10%; R$ 56,30 ;6,50%; R$ 3,66 ; R$ 52,64 ;14,25%; 7,50 ; 45,14 ;10%; 4,51 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/04/2022;Middle;MON VILLE RESTAURANTES;30.546.132/0001-84;METLIFE;ODONTO;8;01/04/2022;Comissão; R$ 643,44 ;10%; R$ 64,34 ;6,50%; R$ 4,18 ; R$ 60,16 ;14,25%; 8,57 ; 51,59 ;10%; 5,16 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/04/2022;Middle;KRYPTUS;05.761.098/0001-13;AMIL;ODONTO;8;01/04/2022;Comissão; R$ 930,41 ;10%; R$ 93,04 ;6,50%; R$ 6,05 ; R$ 86,99 ;14,25%; 12,40 ; 74,60 ;10%; 7,46 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/04/2022;Middle;KRYPTUS;05.761.098/0001-13;AMIL;ODONTO;8;01/04/2022;Comissão; R$ 2.605,08 ;10%; R$ 260,51 ;6,50%; R$ 16,93 ; R$ 243,57 ;14,25%; 34,71 ; 208,87 ;10%; 20,89 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/04/2022;Middle;KRYPTUS;05.761.098/0001-13;AMIL;SAÚDE;7;01/04/2022;Comissão; R$ 36.130,03 ;5%; R$ 1.806,50 ;6,50%; R$ 117,42 ; R$ 1.689,08 ;14,25%; 240,69 ; 1.448,39 ;10%; 144,84 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/04/2022;Middle;KRYPTUS;05.761.098/0002-02;AMIL;SAÚDE;7;01/04/2022;Comissão; R$ 11.732,38 ;5%; R$ 586,62 ;6,50%; R$ 38,13 ; R$ 548,49 ;14,25%; 78,16 ; 470,33 ;10%; 47,03 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/04/2022;Middle;Sinalisa;42.147.421/0001-90;SULAMERICA;SAÚDE;1;01/03/2022;Comissão; R$ 1.500,05 ;5%; R$ 75,00 ;3,50%; R$ 2,63 ; R$ 72,38 ;14,25%; 10,31 ; 62,06 ;10%; 6,21 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/04/2022;Middle;Sinalisa;61.409.355/0001-23;SULAMERICA;SAÚDE;1;01/03/2022;Comissão; R$ 1.313,68 ;5%; R$ 65,68 ;3,50%; R$ 2,30 ; R$ 63,39 ;14,25%; 9,03 ; 54,35 ;10%; 5,44 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/04/2022;Middle;Sinalisa;42.147.421/0001-90;SULAMERICA;SAÚDE;2;01/04/2022;Comissão; R$ 1.884,40 ;5%; R$ 94,22 ;3,50%; R$ 3,30 ; R$ 90,92 ;14,25%; 12,96 ; 77,97 ;10%; 7,80 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/04/2022;Middle;Sinalisa;61.409.355/0001-23;SULAMERICA;SAÚDE;2;01/04/2022;Comissão; R$ 1.881,20 ;5%; R$ 94,06 ;3,50%; R$ 3,29 ; R$ 90,77 ;14,25%; 12,93 ; 77,83 ;10%; 7,78 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;MON VILLE ALIMENTAÇÃO ;00.327.702/0001-84;METLIFE;ODONTO;9;01/05/2022;Comissão; R$ 425,13 ;10%; R$ 42,51 ;6,50%; R$ 2,76 ; R$ 39,75 ;14,25%; 5,66 ; 34,09 ;10%; 3,41 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;MON VILLE MINAS REFEIÇÕES;14.429.436/0001-05;METLIFE;ODONTO;9;01/05/2022;Comissão; R$ 563,01 ;10%; R$ 56,30 ;6,50%; R$ 3,66 ; R$ 52,64 ;14,25%; 7,50 ; 45,14 ;10%; 4,51 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;MON VILLE RESTAURANTES;30.546.132/0001-84;METLIFE;ODONTO;9;01/05/2022;Comissão; R$ 643,44 ;10%; R$ 64,34 ;6,50%; R$ 4,18 ; R$ 60,16 ;14,25%; 8,57 ; 51,59 ;10%; 5,16 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;KRYPTUS;05.761.098/0001-13;AMIL;ODONTO;9;01/05/2022;Comissão; R$ 782,01 ;10%; R$ 78,20 ;6,50%; R$ 5,08 ; R$ 73,12 ;14,25%; 10,42 ; 62,70 ;10%; 6,27 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;KRYPTUS;05.761.098/0001-13;AMIL;ODONTO;9;01/05/2022;Comissão; R$ 2.395,12 ;10%; R$ 239,51 ;6,50%; R$ 15,57 ; R$ 223,94 ;14,25%; 31,91 ; 192,03 ;10%; 19,20 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;KRYPTUS;05.761.098/0001-13;AMIL;SAÚDE;8;01/05/2022;Comissão; R$ 36.159,70 ;5%; R$ 1.807,99 ;6,50%; R$ 117,52 ; R$ 1.690,47 ;14,25%; 240,89 ; 1.449,57 ;10%; 144,96 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;KRYPTUS;05.761.098/0002-02;AMIL;SAÚDE;8;01/05/2022;Comissão; R$ 9.711,54 ;5%; R$ 485,58 ;6,50%; R$ 31,56 ; R$ 454,01 ;14,25%; 64,70 ; 389,32 ;10%; 38,93 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;Sinalisa;42.147.421/0001-90;CNU;SAÚDE;1;01/05/2022;Comissão; R$ 81.571,56 ;5%; R$ 4.078,58 ;6,50%; R$ 265,11 ; R$ 3.813,47 ;14,25%; 543,42 ; 3.270,05 ;10%; 327,01 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;Sinalisa;61.409.355/0001-23;CNU;SAÚDE;1;01/05/2022;Comissão; R$ 33.085,50 ;5%; R$ 1.654,28 ;6,50%; R$ 107,53 ; R$ 1.546,75 ;14,25%; 220,41 ; 1.326,34 ;10%; 132,63 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;Sinalisa;42.147.421/0001-90;SULAMERICA;SAÚDE;3;01/03/2022;Comissão; R$ 38.455,80 ;5%; R$ 1.922,79 ;3,50%; R$ 67,30 ; R$ 1.855,49 ;14,25%; 264,41 ; 1.591,08 ;10%; 159,11 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;Sinalisa Segurança Viaria Ltda.;42.147.421/0001-90;SULAMERICA;SAÚDE;4;01/04/2022;Comissão; R$ 36.430,20 ;5%; R$ 1.821,51 ;3,50%; R$ 63,75 ; R$ 1.757,76 ;14,25%; 250,48 ; 1.507,28 ;10%; 150,73 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;Sinalisa Segurança Viaria Ltda.;42.147.421/0001-90;SULAMERICA;SAÚDE;5;01/05/2022;Comissão; R$ 38.455,80 ;5%; R$ 1.922,79 ;3,50%; R$ 67,30 ; R$ 1.855,49 ;14,25%; 264,41 ; 1.591,08 ;10%; 159,11 
